,61312359198de5c453d3cfb9,6167e5b21fe4bb7b2579fa56,5ffca360e5368712c0d99025,6125f41a09b22ab57f141fc4,60fa1f2cf2278d3aa499500d,5e5701332445b00c809f4f5a,60fbd6e536d60cbad293b196,6174329f7090eebf66aac13e,6152cf90dee0704b0bf2993a,5f5e4841a15e3f6c48945fb9,61112143019643656743213c,5daae19f8a06b60016d1bc32,60d747e9498dbc9de1f481f8,615c45c1bdf768482da9ae9f,5f7d002d141e4e1c0e84e98e,611df8db8ecf47bb14385383,59b53c08834a170001d609d0,5db4cc7d991a36000f60c12f,60c3296117492c303de38975,6159e587cc01e08668d4d7bd,615c7b5b6c6f51e68938c2aa,611fda564c6fa3a229aedd37,5f3976475344654ec13820aa,615078887e990118be6d3c25,6134a29257aec791154425ae,5f966b181caf595331d1685e,5a64a97663394a0001556331,60e9c7d6324bb82ccb1357e4,5f009c12dac7c81b0e9c0d06,60fda80455b1001936d34ce8,6152e5bee196dfaf35c84747
91,113.0,76.0,76.0,87.0,91.0,77.0,109.0,133.0,133.0,124.0,76.0,140.0,87.0,124.0,123.0,60.0,61.0,113.0,139.0,61.0,109.0,77.0,139.0,61.0,139.0,76.0,61.0,109.0,109.0,124.0,124.0
92,79.0,25.0,25.0,121.0,96.0,144.0,104.0,100.0,100.0,175.0,25.0,97.0,121.0,175.0,56.0,103.0,55.0,79.0,145.0,55.0,104.0,144.0,145.0,55.0,145.0,25.0,55.0,104.0,104.0,175.0,175.0
93,64.0,53.0,53.0,136.0,145.0,90.0,55.0,81.0,81.0,147.0,53.0,82.0,136.0,147.0,110.0,118.0,139.0,64.0,61.0,139.0,55.0,90.0,61.0,139.0,61.0,53.0,139.0,55.0,55.0,147.0,147.0
94,75.0,44.0,44.0,125.0,66.0,166.0,134.0,160.0,160.0,156.0,44.0,57.0,125.0,156.0,34.0,143.0,174.0,75.0,26.0,174.0,134.0,166.0,26.0,174.0,26.0,44.0,174.0,134.0,134.0,156.0,156.0
95,122.0,42.0,42.0,78.0,111.0,104.0,89.0,148.0,148.0,158.0,42.0,53.0,78.0,158.0,96.0,147.0,88.0,122.0,112.0,88.0,89.0,104.0,112.0,88.0,112.0,42.0,88.0,89.0,89.0,158.0,158.0
96,111.0,99.0,99.0,89.0,113.0,68.0,87.0,128.0,128.0,101.0,99.0,82.0,89.0,101.0,132.0,118.0,128.0,111.0,72.0,128.0,87.0,68.0,72.0,128.0,72.0,99.0,128.0,87.0,87.0,101.0,101.0
97,144.0,76.0,76.0,56.0,85.0,113.0,115.0,134.0,134.0,124.0,76.0,52.0,56.0,124.0,87.0,148.0,106.0,144.0,94.0,106.0,115.0,113.0,94.0,106.0,94.0,76.0,106.0,115.0,115.0,124.0,124.0
98,135.0,83.0,83.0,65.0,116.0,143.0,84.0,135.0,135.0,117.0,83.0,57.0,65.0,117.0,57.0,143.0,95.0,135.0,105.0,95.0,84.0,143.0,105.0,95.0,105.0,83.0,95.0,84.0,84.0,117.0,117.0
99,49.0,63.0,63.0,151.0,91.0,81.0,109.0,121.0,121.0,137.0,63.0,78.0,151.0,137.0,119.0,122.0,122.0,49.0,78.0,122.0,109.0,81.0,78.0,122.0,78.0,63.0,122.0,109.0,109.0,137.0,137.0
100,81.0,117.0,117.0,119.0,86.0,105.0,114.0,133.0,133.0,83.0,117.0,120.0,119.0,83.0,95.0,80.0,177.0,81.0,23.0,177.0,114.0,105.0,23.0,177.0,23.0,117.0,177.0,114.0,114.0,83.0,83.0
101,93.0,123.0,123.0,107.0,85.0,62.0,115.0,99.0,99.0,77.0,123.0,109.0,107.0,77.0,138.0,91.0,191.0,93.0,9.0,191.0,115.0,62.0,9.0,191.0,9.0,123.0,191.0,115.0,115.0,77.0,77.0
102,78.0,110.0,110.0,122.0,87.0,126.0,113.0,81.0,81.0,90.0,110.0,59.0,122.0,90.0,74.0,141.0,134.0,78.0,66.0,134.0,113.0,126.0,66.0,134.0,66.0,110.0,134.0,113.0,113.0,90.0,90.0
103,110.0,151.0,151.0,90.0,73.0,81.0,127.0,62.0,62.0,49.0,151.0,122.0,90.0,49.0,119.0,78.0,105.0,110.0,95.0,105.0,127.0,81.0,95.0,105.0,95.0,151.0,105.0,127.0,127.0,49.0,49.0
104,101.0,145.0,145.0,99.0,116.0,116.0,84.0,73.0,73.0,55.0,145.0,58.0,99.0,55.0,84.0,142.0,144.0,101.0,56.0,144.0,84.0,116.0,56.0,144.0,56.0,145.0,144.0,84.0,84.0,55.0,55.0
105,137.0,126.0,126.0,63.0,102.0,137.0,98.0,88.0,88.0,74.0,126.0,125.0,63.0,74.0,63.0,75.0,29.0,137.0,171.0,29.0,98.0,137.0,171.0,29.0,171.0,126.0,29.0,98.0,98.0,74.0,74.0
106,112.0,168.0,168.0,88.0,105.0,112.0,95.0,61.0,61.0,32.0,168.0,152.0,88.0,32.0,88.0,48.0,57.0,112.0,143.0,57.0,95.0,112.0,143.0,57.0,143.0,168.0,57.0,95.0,95.0,32.0,32.0
107,142.0,155.0,155.0,58.0,123.0,143.0,77.0,71.0,71.0,45.0,155.0,138.0,58.0,45.0,57.0,62.0,43.0,142.0,157.0,43.0,77.0,143.0,157.0,43.0,157.0,155.0,43.0,77.0,77.0,45.0,45.0
108,179.0,109.0,109.0,21.0,126.0,116.0,74.0,121.0,121.0,91.0,109.0,102.0,21.0,91.0,84.0,98.0,106.0,179.0,94.0,106.0,74.0,116.0,94.0,106.0,94.0,109.0,106.0,74.0,74.0,91.0,91.0
109,137.0,84.0,84.0,63.0,147.0,67.0,53.0,124.0,124.0,116.0,84.0,98.0,63.0,116.0,133.0,102.0,125.0,137.0,75.0,125.0,53.0,67.0,75.0,125.0,75.0,84.0,125.0,53.0,53.0,116.0,116.0
110,98.0,106.0,106.0,102.0,110.0,99.0,90.0,85.0,85.0,94.0,106.0,91.0,102.0,94.0,101.0,109.0,140.0,98.0,60.0,140.0,90.0,99.0,60.0,140.0,60.0,106.0,140.0,90.0,90.0,94.0,94.0
111,130.0,39.0,39.0,70.0,85.0,178.0,115.0,139.0,139.0,161.0,39.0,106.0,70.0,161.0,22.0,94.0,157.0,130.0,43.0,157.0,115.0,178.0,43.0,157.0,43.0,39.0,157.0,115.0,115.0,161.0,161.0
112,83.0,24.0,24.0,117.0,92.0,185.0,108.0,186.0,186.0,176.0,24.0,114.0,117.0,176.0,15.0,86.0,109.0,83.0,91.0,109.0,108.0,185.0,91.0,109.0,91.0,24.0,109.0,108.0,108.0,176.0,176.0
113,177.0,97.0,97.0,23.0,118.0,129.0,82.0,169.0,169.0,103.0,97.0,119.0,23.0,103.0,71.0,81.0,162.0,177.0,38.0,162.0,82.0,129.0,38.0,162.0,38.0,97.0,162.0,82.0,82.0,103.0,103.0
114,136.0,74.0,74.0,64.0,124.0,97.0,76.0,133.0,133.0,126.0,74.0,75.0,64.0,126.0,103.0,125.0,121.0,136.0,79.0,121.0,76.0,97.0,79.0,121.0,79.0,74.0,121.0,76.0,76.0,126.0,126.0
115,151.0,100.0,100.0,49.0,107.0,41.0,93.0,134.0,134.0,100.0,100.0,107.0,49.0,100.0,159.0,93.0,169.0,151.0,31.0,169.0,93.0,41.0,31.0,169.0,31.0,100.0,169.0,93.0,93.0,100.0,100.0
116,161.0,121.0,121.0,39.0,103.0,86.0,97.0,119.0,119.0,79.0,121.0,135.0,39.0,79.0,114.0,65.0,115.0,161.0,85.0,115.0,97.0,86.0,85.0,115.0,85.0,121.0,115.0,97.0,97.0,79.0,79.0
117,101.0,127.0,127.0,99.0,121.0,100.0,79.0,21.0,21.0,73.0,127.0,91.0,99.0,73.0,100.0,109.0,101.0,101.0,99.0,101.0,79.0,100.0,99.0,101.0,99.0,127.0,101.0,79.0,79.0,73.0,73.0
118,137.0,72.0,72.0,63.0,106.0,45.0,94.0,50.0,50.0,128.0,72.0,88.0,63.0,128.0,155.0,112.0,84.0,137.0,116.0,84.0,94.0,45.0,116.0,84.0,116.0,72.0,84.0,94.0,94.0,128.0,128.0
119,93.0,108.0,108.0,107.0,112.0,44.0,88.0,32.0,32.0,92.0,108.0,100.0,107.0,92.0,156.0,100.0,139.0,93.0,61.0,139.0,88.0,44.0,61.0,139.0,61.0,108.0,139.0,88.0,88.0,92.0,92.0
120,54.0,156.0,156.0,146.0,77.0,68.0,123.0,50.0,50.0,44.0,156.0,145.0,146.0,44.0,132.0,55.0,72.0,54.0,128.0,72.0,123.0,68.0,128.0,72.0,128.0,156.0,72.0,123.0,123.0,44.0,44.0
121,21.0,139.0,139.0,179.0,71.0,61.0,129.0,90.0,90.0,61.0,139.0,101.0,179.0,61.0,139.0,99.0,64.0,21.0,136.0,64.0,129.0,61.0,136.0,64.0,136.0,139.0,64.0,129.0,129.0,61.0,61.0
122,81.0,104.0,104.0,119.0,85.0,31.0,115.0,38.0,38.0,96.0,104.0,101.0,119.0,96.0,169.0,99.0,67.0,81.0,133.0,67.0,115.0,31.0,133.0,67.0,133.0,104.0,67.0,115.0,115.0,96.0,96.0
123,105.0,124.0,124.0,95.0,86.0,61.0,114.0,51.0,51.0,76.0,124.0,75.0,95.0,76.0,139.0,125.0,57.0,105.0,143.0,57.0,114.0,61.0,143.0,57.0,143.0,124.0,57.0,114.0,114.0,76.0,76.0
124,74.0,154.0,154.0,126.0,87.0,125.0,113.0,62.0,62.0,46.0,154.0,129.0,126.0,46.0,75.0,71.0,74.0,74.0,126.0,74.0,113.0,125.0,126.0,74.0,126.0,154.0,74.0,113.0,113.0,46.0,46.0
125,134.0,101.0,101.0,66.0,95.0,119.0,105.0,53.0,53.0,99.0,101.0,57.0,66.0,99.0,81.0,143.0,102.0,134.0,98.0,102.0,105.0,119.0,98.0,102.0,98.0,101.0,102.0,105.0,105.0,99.0,99.0
126,100.0,66.0,66.0,100.0,93.0,94.0,107.0,71.0,71.0,134.0,66.0,95.0,100.0,134.0,106.0,105.0,39.0,100.0,161.0,39.0,107.0,94.0,161.0,39.0,161.0,66.0,39.0,107.0,107.0,134.0,134.0
127,134.0,89.0,89.0,66.0,73.0,85.0,127.0,87.0,87.0,111.0,89.0,81.0,66.0,111.0,115.0,119.0,95.0,134.0,105.0,95.0,127.0,85.0,105.0,95.0,105.0,89.0,95.0,127.0,127.0,111.0,111.0
128,123.0,102.0,102.0,77.0,77.0,82.0,123.0,96.0,96.0,98.0,102.0,96.0,77.0,98.0,118.0,104.0,80.0,123.0,120.0,80.0,123.0,82.0,120.0,80.0,120.0,102.0,80.0,123.0,123.0,98.0,98.0
129,78.0,77.0,77.0,122.0,115.0,91.0,85.0,136.0,136.0,123.0,77.0,61.0,122.0,123.0,109.0,139.0,79.0,78.0,121.0,79.0,85.0,91.0,121.0,79.0,121.0,77.0,79.0,85.0,85.0,123.0,123.0
130,149.0,96.0,96.0,51.0,105.0,83.0,95.0,93.0,93.0,104.0,96.0,49.0,51.0,104.0,117.0,151.0,44.0,149.0,156.0,44.0,95.0,83.0,156.0,44.0,156.0,96.0,44.0,95.0,95.0,104.0,104.0
131,117.0,90.0,90.0,83.0,144.0,134.0,56.0,120.0,120.0,110.0,90.0,13.0,83.0,110.0,66.0,187.0,77.0,117.0,123.0,77.0,56.0,134.0,123.0,77.0,123.0,90.0,77.0,56.0,56.0,110.0,110.0
132,145.0,149.0,149.0,55.0,137.0,56.0,63.0,117.0,117.0,51.0,149.0,75.0,55.0,51.0,144.0,125.0,82.0,145.0,118.0,82.0,63.0,56.0,118.0,82.0,118.0,149.0,82.0,63.0,63.0,51.0,51.0
133,74.0,106.0,106.0,126.0,134.0,65.0,66.0,125.0,125.0,94.0,106.0,54.0,126.0,94.0,135.0,146.0,57.0,74.0,143.0,57.0,66.0,65.0,143.0,57.0,143.0,106.0,57.0,66.0,66.0,94.0,94.0
134,156.0,101.0,101.0,44.0,138.0,89.0,62.0,80.0,80.0,99.0,101.0,113.0,44.0,99.0,111.0,87.0,55.0,156.0,145.0,55.0,62.0,89.0,145.0,55.0,145.0,101.0,55.0,62.0,62.0,99.0,99.0
135,80.0,110.0,110.0,120.0,113.0,94.0,87.0,171.0,171.0,90.0,110.0,166.0,120.0,90.0,106.0,34.0,79.0,80.0,121.0,79.0,87.0,94.0,121.0,79.0,121.0,110.0,79.0,87.0,87.0,90.0,90.0
136,49.0,128.0,128.0,151.0,108.0,82.0,92.0,174.0,174.0,72.0,128.0,163.0,151.0,72.0,118.0,37.0,70.0,49.0,130.0,70.0,92.0,82.0,130.0,70.0,130.0,128.0,70.0,92.0,92.0,72.0,72.0
137,83.0,81.0,81.0,117.0,165.0,97.0,35.0,196.0,196.0,119.0,81.0,164.0,117.0,119.0,103.0,36.0,32.0,83.0,168.0,32.0,35.0,97.0,168.0,32.0,168.0,81.0,32.0,35.0,35.0,119.0,119.0
138,60.0,139.0,139.0,140.0,128.0,111.0,72.0,95.0,95.0,61.0,139.0,166.0,140.0,61.0,89.0,34.0,54.0,60.0,146.0,54.0,72.0,111.0,146.0,54.0,146.0,139.0,54.0,72.0,72.0,61.0,61.0
139,124.0,94.0,94.0,76.0,129.0,92.0,71.0,87.0,87.0,106.0,94.0,139.0,76.0,106.0,108.0,61.0,67.0,124.0,133.0,67.0,71.0,92.0,133.0,67.0,133.0,94.0,67.0,71.0,71.0,106.0,106.0
140,111.0,114.0,114.0,89.0,153.0,102.0,47.0,43.0,43.0,86.0,114.0,108.0,89.0,86.0,98.0,92.0,100.0,111.0,100.0,100.0,47.0,102.0,100.0,100.0,100.0,114.0,100.0,47.0,47.0,86.0,86.0
141,137.0,101.0,101.0,63.0,127.0,124.0,73.0,46.0,46.0,99.0,101.0,62.0,63.0,99.0,76.0,138.0,95.0,137.0,105.0,95.0,73.0,124.0,105.0,95.0,105.0,101.0,95.0,73.0,73.0,99.0,99.0
142,163.0,130.0,130.0,37.0,146.0,122.0,54.0,122.0,122.0,70.0,130.0,65.0,37.0,70.0,78.0,135.0,80.0,163.0,120.0,80.0,54.0,122.0,120.0,80.0,120.0,130.0,80.0,54.0,54.0,70.0,70.0
143,75.0,100.0,100.0,125.0,102.0,104.0,98.0,82.0,82.0,100.0,100.0,111.0,125.0,100.0,96.0,89.0,88.0,75.0,112.0,88.0,98.0,104.0,112.0,88.0,112.0,100.0,88.0,98.0,98.0,100.0,100.0
144,129.0,115.0,115.0,71.0,86.0,94.0,114.0,85.0,85.0,85.0,115.0,57.0,71.0,85.0,106.0,143.0,133.0,129.0,67.0,133.0,114.0,94.0,67.0,133.0,67.0,115.0,133.0,114.0,114.0,85.0,85.0
145,167.0,84.0,84.0,33.0,150.0,67.0,50.0,155.0,155.0,116.0,84.0,125.0,33.0,116.0,133.0,75.0,109.0,167.0,91.0,109.0,50.0,67.0,91.0,109.0,91.0,84.0,109.0,50.0,50.0,116.0,116.0
146,154.0,100.0,100.0,46.0,161.0,53.0,39.0,12.0,12.0,100.0,100.0,109.0,46.0,100.0,147.0,91.0,109.0,154.0,91.0,109.0,39.0,53.0,91.0,109.0,91.0,100.0,109.0,39.0,39.0,100.0,100.0
147,101.0,93.0,93.0,99.0,134.0,81.0,66.0,141.0,141.0,107.0,93.0,38.0,99.0,107.0,119.0,162.0,102.0,101.0,98.0,102.0,66.0,81.0,98.0,102.0,98.0,93.0,102.0,66.0,66.0,107.0,107.0
148,96.0,119.0,119.0,104.0,72.0,61.0,128.0,130.0,130.0,81.0,119.0,69.0,104.0,81.0,139.0,131.0,99.0,96.0,101.0,99.0,128.0,61.0,101.0,99.0,101.0,119.0,99.0,128.0,128.0,81.0,81.0
149,125.0,124.0,124.0,75.0,141.0,87.0,59.0,95.0,95.0,76.0,124.0,63.0,75.0,76.0,113.0,137.0,107.0,125.0,93.0,107.0,59.0,87.0,93.0,107.0,93.0,124.0,107.0,59.0,59.0,76.0,76.0
150,99.0,133.0,133.0,101.0,78.0,90.0,122.0,72.0,72.0,67.0,133.0,89.0,101.0,67.0,110.0,111.0,82.0,99.0,118.0,82.0,122.0,90.0,118.0,82.0,118.0,133.0,82.0,122.0,122.0,67.0,67.0
151,96.0,116.0,116.0,104.0,87.0,129.0,113.0,135.0,135.0,84.0,116.0,131.0,104.0,84.0,71.0,69.0,95.0,96.0,105.0,95.0,113.0,129.0,105.0,95.0,105.0,116.0,95.0,113.0,113.0,84.0,84.0
152,138.0,90.0,90.0,62.0,101.0,121.0,99.0,158.0,158.0,110.0,90.0,91.0,62.0,110.0,79.0,109.0,105.0,138.0,95.0,105.0,99.0,121.0,95.0,105.0,95.0,90.0,105.0,99.0,99.0,110.0,110.0
153,124.0,70.0,70.0,76.0,79.0,135.0,121.0,59.0,59.0,130.0,70.0,109.0,76.0,130.0,65.0,91.0,111.0,124.0,89.0,111.0,121.0,135.0,89.0,111.0,89.0,70.0,111.0,121.0,121.0,130.0,130.0
154,112.0,52.0,52.0,88.0,76.0,127.0,124.0,57.0,57.0,148.0,52.0,145.0,88.0,148.0,73.0,55.0,93.0,112.0,107.0,93.0,124.0,127.0,107.0,93.0,107.0,52.0,93.0,124.0,124.0,148.0,148.0
155,42.0,85.0,85.0,158.0,82.0,89.0,118.0,38.0,38.0,115.0,85.0,148.0,158.0,115.0,111.0,52.0,162.0,42.0,38.0,162.0,118.0,89.0,38.0,162.0,38.0,85.0,162.0,118.0,118.0,115.0,115.0
156,70.0,113.0,113.0,130.0,68.0,86.0,132.0,31.0,31.0,87.0,113.0,119.0,130.0,87.0,114.0,81.0,97.0,70.0,103.0,97.0,132.0,86.0,103.0,97.0,103.0,113.0,97.0,132.0,132.0,87.0,87.0
157,92.0,119.0,119.0,108.0,76.0,95.0,124.0,84.0,84.0,81.0,119.0,111.0,108.0,81.0,105.0,89.0,88.0,92.0,112.0,88.0,124.0,95.0,112.0,88.0,112.0,119.0,88.0,124.0,124.0,81.0,81.0
158,106.0,179.0,179.0,94.0,74.0,92.0,126.0,76.0,76.0,21.0,179.0,154.0,94.0,21.0,108.0,46.0,77.0,106.0,123.0,77.0,126.0,92.0,123.0,77.0,123.0,179.0,77.0,126.0,126.0,21.0,21.0
159,94.0,111.0,111.0,106.0,70.0,63.0,130.0,147.0,147.0,89.0,111.0,155.0,106.0,89.0,137.0,45.0,80.0,94.0,120.0,80.0,130.0,63.0,120.0,80.0,120.0,111.0,80.0,130.0,130.0,89.0,89.0
160,87.0,103.0,103.0,113.0,100.0,84.0,100.0,112.0,112.0,97.0,103.0,138.0,113.0,97.0,116.0,62.0,56.0,87.0,144.0,56.0,100.0,84.0,144.0,56.0,144.0,103.0,56.0,100.0,100.0,97.0,97.0
161,116.0,93.0,93.0,84.0,96.0,102.0,104.0,84.0,84.0,107.0,93.0,79.0,84.0,107.0,98.0,121.0,97.0,116.0,103.0,97.0,104.0,102.0,103.0,97.0,103.0,93.0,97.0,104.0,104.0,107.0,107.0
162,105.0,84.0,84.0,95.0,114.0,94.0,86.0,130.0,130.0,116.0,84.0,123.0,95.0,116.0,106.0,77.0,109.0,105.0,91.0,109.0,86.0,94.0,91.0,109.0,91.0,84.0,109.0,86.0,86.0,116.0,116.0
163,120.0,128.0,128.0,80.0,121.0,55.0,79.0,114.0,114.0,72.0,128.0,176.0,80.0,72.0,145.0,24.0,77.0,120.0,123.0,77.0,79.0,55.0,123.0,77.0,123.0,128.0,77.0,79.0,79.0,72.0,72.0
164,120.0,91.0,91.0,80.0,116.0,85.0,84.0,85.0,85.0,109.0,91.0,128.0,80.0,109.0,115.0,72.0,42.0,120.0,158.0,42.0,84.0,85.0,158.0,42.0,158.0,91.0,42.0,84.0,84.0,109.0,109.0
165,110.0,106.0,106.0,90.0,88.0,99.0,112.0,57.0,57.0,94.0,106.0,102.0,90.0,94.0,101.0,98.0,75.0,110.0,125.0,75.0,112.0,99.0,125.0,75.0,125.0,106.0,75.0,112.0,112.0,94.0,94.0
166,163.0,82.0,82.0,37.0,88.0,91.0,112.0,52.0,52.0,118.0,82.0,75.0,37.0,118.0,109.0,125.0,87.0,163.0,113.0,87.0,112.0,91.0,113.0,87.0,113.0,82.0,87.0,112.0,112.0,118.0,118.0
167,129.0,52.0,52.0,71.0,111.0,103.0,89.0,32.0,32.0,148.0,52.0,46.0,71.0,148.0,97.0,154.0,95.0,129.0,105.0,95.0,89.0,103.0,105.0,95.0,105.0,52.0,95.0,89.0,89.0,148.0,148.0
168,138.0,75.0,75.0,62.0,120.0,111.0,80.0,79.0,79.0,125.0,75.0,87.0,62.0,125.0,89.0,113.0,83.0,138.0,117.0,83.0,80.0,111.0,117.0,83.0,117.0,75.0,83.0,80.0,80.0,125.0,125.0
169,105.0,24.0,24.0,95.0,124.0,50.0,76.0,50.0,50.0,176.0,24.0,97.0,95.0,176.0,150.0,103.0,119.0,105.0,81.0,119.0,76.0,50.0,81.0,119.0,81.0,24.0,119.0,76.0,76.0,176.0,176.0
170,94.0,38.0,38.0,106.0,131.0,43.0,69.0,125.0,125.0,162.0,38.0,4.0,106.0,162.0,157.0,196.0,37.0,94.0,163.0,37.0,69.0,43.0,163.0,37.0,163.0,38.0,37.0,69.0,69.0,162.0,162.0
171,44.0,26.0,26.0,156.0,134.0,61.0,66.0,51.0,51.0,174.0,26.0,87.0,156.0,174.0,139.0,113.0,63.0,44.0,137.0,63.0,66.0,61.0,137.0,63.0,137.0,26.0,63.0,66.0,66.0,174.0,174.0
172,0.0,53.0,53.0,200.0,155.0,117.0,45.0,122.0,122.0,147.0,53.0,74.0,200.0,147.0,83.0,126.0,49.0,0.0,151.0,49.0,45.0,117.0,151.0,49.0,151.0,53.0,49.0,45.0,45.0,147.0,147.0
173,29.0,52.0,52.0,171.0,144.0,116.0,56.0,84.0,84.0,148.0,52.0,12.0,171.0,148.0,84.0,188.0,31.0,29.0,169.0,31.0,56.0,116.0,169.0,31.0,169.0,52.0,31.0,56.0,56.0,148.0,148.0
174,62.0,118.0,118.0,138.0,101.0,101.0,99.0,134.0,134.0,82.0,118.0,63.0,138.0,82.0,99.0,137.0,8.0,62.0,192.0,8.0,99.0,101.0,192.0,8.0,192.0,118.0,8.0,99.0,99.0,82.0,82.0
175,102.0,119.0,119.0,98.0,131.0,83.0,69.0,137.0,137.0,81.0,119.0,57.0,98.0,81.0,117.0,143.0,48.0,102.0,152.0,48.0,69.0,83.0,152.0,48.0,152.0,119.0,48.0,69.0,69.0,81.0,81.0
176,111.0,98.0,98.0,89.0,116.0,95.0,84.0,147.0,147.0,102.0,98.0,34.0,89.0,102.0,105.0,166.0,56.0,111.0,144.0,56.0,84.0,95.0,144.0,56.0,144.0,98.0,56.0,84.0,84.0,102.0,102.0
177,87.0,126.0,126.0,113.0,101.0,59.0,99.0,167.0,167.0,74.0,126.0,139.0,113.0,74.0,141.0,61.0,60.0,87.0,140.0,60.0,99.0,59.0,140.0,60.0,140.0,126.0,60.0,99.0,99.0,74.0,74.0
178,82.0,140.0,140.0,118.0,93.0,119.0,107.0,117.0,117.0,60.0,140.0,107.0,118.0,60.0,81.0,93.0,39.0,82.0,161.0,39.0,107.0,119.0,161.0,39.0,161.0,140.0,39.0,107.0,107.0,60.0,60.0
179,89.0,108.0,108.0,111.0,109.0,84.0,91.0,63.0,63.0,92.0,108.0,43.0,111.0,92.0,116.0,157.0,81.0,89.0,119.0,81.0,91.0,84.0,119.0,81.0,119.0,108.0,81.0,91.0,91.0,92.0,92.0
180,92.0,102.0,102.0,108.0,83.0,74.0,117.0,144.0,144.0,98.0,102.0,-2.0,108.0,98.0,126.0,202.0,114.0,92.0,86.0,114.0,117.0,74.0,86.0,114.0,86.0,102.0,114.0,117.0,117.0,98.0,98.0
181,77.0,128.0,128.0,123.0,72.0,107.0,128.0,156.0,156.0,72.0,128.0,83.0,123.0,72.0,93.0,117.0,106.0,77.0,94.0,106.0,128.0,107.0,94.0,106.0,94.0,128.0,106.0,128.0,128.0,72.0,72.0
182,77.0,77.0,77.0,123.0,48.0,46.0,152.0,67.0,67.0,123.0,77.0,127.0,123.0,123.0,154.0,73.0,153.0,77.0,47.0,153.0,152.0,46.0,47.0,153.0,47.0,77.0,153.0,152.0,152.0,123.0,123.0
183,128.0,83.0,83.0,72.0,52.0,71.0,148.0,47.0,47.0,117.0,83.0,7.0,72.0,117.0,129.0,193.0,126.0,128.0,74.0,126.0,148.0,71.0,74.0,126.0,74.0,83.0,126.0,148.0,148.0,117.0,117.0
184,140.0,121.0,121.0,60.0,112.0,102.0,88.0,181.0,181.0,79.0,121.0,127.0,60.0,79.0,98.0,73.0,103.0,140.0,97.0,103.0,88.0,102.0,97.0,103.0,97.0,121.0,103.0,88.0,88.0,79.0,79.0
185,76.0,71.0,71.0,124.0,99.0,101.0,101.0,82.0,82.0,129.0,71.0,8.0,124.0,129.0,99.0,192.0,95.0,76.0,105.0,95.0,101.0,101.0,105.0,95.0,105.0,71.0,95.0,101.0,101.0,129.0,129.0
186,101.0,155.0,155.0,99.0,117.0,129.0,83.0,74.0,74.0,45.0,155.0,56.0,99.0,45.0,71.0,144.0,122.0,101.0,78.0,122.0,83.0,129.0,78.0,122.0,78.0,155.0,122.0,83.0,83.0,45.0,45.0
187,85.0,37.0,37.0,115.0,109.0,191.0,91.0,89.0,89.0,163.0,37.0,165.0,115.0,163.0,9.0,35.0,100.0,85.0,100.0,100.0,91.0,191.0,100.0,100.0,100.0,37.0,100.0,91.0,91.0,163.0,163.0
188,104.0,73.0,73.0,96.0,105.0,106.0,95.0,111.0,111.0,127.0,73.0,144.0,96.0,127.0,94.0,56.0,88.0,104.0,112.0,88.0,95.0,106.0,112.0,88.0,112.0,73.0,88.0,95.0,95.0,127.0,127.0
189,86.0,110.0,110.0,114.0,35.0,80.0,165.0,114.0,114.0,90.0,110.0,89.0,114.0,90.0,120.0,111.0,62.0,86.0,138.0,62.0,165.0,80.0,138.0,62.0,138.0,110.0,62.0,165.0,165.0,90.0,90.0
190,93.0,116.0,116.0,107.0,84.0,134.0,116.0,41.0,41.0,84.0,116.0,137.0,107.0,84.0,66.0,63.0,114.0,93.0,86.0,114.0,116.0,134.0,86.0,114.0,86.0,116.0,114.0,116.0,116.0,84.0,84.0
191,90.0,109.0,109.0,110.0,83.0,97.0,117.0,87.0,87.0,91.0,109.0,77.0,110.0,91.0,103.0,123.0,64.0,90.0,136.0,64.0,117.0,97.0,136.0,64.0,136.0,109.0,64.0,117.0,117.0,91.0,91.0
192,87.0,97.0,97.0,113.0,103.0,83.0,97.0,154.0,154.0,103.0,97.0,92.0,113.0,103.0,117.0,108.0,6.0,87.0,194.0,6.0,97.0,83.0,194.0,6.0,194.0,97.0,6.0,97.0,97.0,103.0,103.0
193,99.0,128.0,128.0,101.0,89.0,80.0,111.0,98.0,98.0,72.0,128.0,134.0,101.0,72.0,120.0,66.0,52.0,99.0,148.0,52.0,111.0,80.0,148.0,52.0,148.0,128.0,52.0,111.0,111.0,72.0,72.0
194,106.0,90.0,90.0,94.0,99.0,72.0,101.0,151.0,151.0,110.0,90.0,112.0,94.0,110.0,128.0,88.0,50.0,106.0,150.0,50.0,101.0,72.0,150.0,50.0,150.0,90.0,50.0,101.0,101.0,110.0,110.0
195,122.0,111.0,111.0,78.0,98.0,33.0,102.0,114.0,114.0,89.0,111.0,126.0,78.0,89.0,167.0,74.0,51.0,122.0,149.0,51.0,102.0,33.0,149.0,51.0,149.0,111.0,51.0,102.0,102.0,89.0,89.0
196,119.0,142.0,142.0,81.0,85.0,104.0,115.0,76.0,76.0,58.0,142.0,108.0,81.0,58.0,96.0,92.0,64.0,119.0,136.0,64.0,115.0,104.0,136.0,64.0,136.0,142.0,64.0,115.0,115.0,58.0,58.0
197,97.0,103.0,103.0,103.0,87.0,135.0,113.0,104.0,104.0,97.0,103.0,149.0,103.0,97.0,65.0,51.0,91.0,97.0,109.0,91.0,113.0,135.0,109.0,91.0,109.0,103.0,91.0,113.0,113.0,97.0,97.0
