,5f47792545ed0015620c5dea,5e830913ff38e3016d1a69f2,61534ac335007e11ae9dd475,5bb2a0148f3bd70001e5633f,60e197c98498a8f2baa8bc24,60aa6c8804d2aae2b7cce9d5,5f4ae489bd76c515338db02e,613636704a5fb724220f56ec,5dd26e66e454cd28a9d3153d,5b05b9796996a60001a40f14,5e4aecbff6f75d000ccc6108,5edd2e458f29cfa351de300d,5f0dfc73c4ea870f4a3180ad,5d62a50f1d7a3e0015d6a1e9,60b94f837bfda8b1977feef0,6147e5e47d2e1f4064093064,602da4b0977e1185851058c3,614778280f3a996d2b520388,5fed9b2291948ab1c1fb2351,5dbfd427a4627c4258d48ec5,611d0c64d70a6d9fcd11440b,6054ecc6e52f827e4a68d347,5ccbf31adde97100138a0eb4,589b9715a7d45800010429b6,616feb99305d8e8851e9dec6,601f00e7c33dab4182151cc5,60ffc7bb84a3a45ff45fd520,605c64f318cd6fa0d8fef2b0,611f673baf2f705177f7a3c8,6142f3f67e6cee640ce351e5,58404fd8ad98e40001ce915f,5a609c8331b87a0001c6b64c
86,119.0,106.0,81.0,38.0,160.0,160.0,118.0,160.0,160.0,118.0,99.0,162.0,40.0,119.0,106.0,94.0,106.0,80.0,81.0,40.0,94.0,119.0,81.0,106.0,120.0,106.0,160.0,162.0,106.0,94.0,38.0,81.0
87,127.0,87.0,73.0,54.0,120.0,120.0,80.0,120.0,120.0,80.0,142.0,146.0,80.0,127.0,87.0,113.0,87.0,78.0,73.0,80.0,113.0,127.0,73.0,87.0,122.0,87.0,120.0,146.0,87.0,113.0,54.0,73.0
88,98.0,146.0,102.0,79.0,81.0,81.0,114.0,81.0,81.0,114.0,177.0,121.0,119.0,98.0,146.0,54.0,146.0,90.0,102.0,119.0,54.0,98.0,102.0,146.0,110.0,146.0,81.0,121.0,146.0,54.0,79.0,102.0
89,147.0,130.0,53.0,124.0,155.0,155.0,55.0,155.0,155.0,55.0,95.0,76.0,45.0,147.0,130.0,70.0,130.0,53.0,53.0,45.0,70.0,147.0,53.0,130.0,147.0,130.0,155.0,76.0,130.0,70.0,124.0,53.0
90,135.0,-6.0,65.0,55.0,140.0,140.0,71.0,140.0,140.0,71.0,97.0,145.0,60.0,135.0,-6.0,206.0,-6.0,33.0,65.0,60.0,206.0,135.0,65.0,-6.0,167.0,-6.0,140.0,145.0,-6.0,206.0,55.0,65.0
91,76.0,139.0,124.0,60.0,77.0,77.0,87.0,77.0,77.0,87.0,91.0,140.0,123.0,76.0,139.0,61.0,139.0,67.0,124.0,123.0,61.0,76.0,124.0,139.0,133.0,139.0,77.0,140.0,139.0,61.0,60.0,124.0
92,25.0,145.0,175.0,103.0,144.0,144.0,121.0,144.0,144.0,121.0,96.0,97.0,56.0,25.0,145.0,55.0,145.0,100.0,175.0,56.0,55.0,25.0,175.0,145.0,100.0,145.0,144.0,97.0,145.0,55.0,103.0,175.0
93,53.0,61.0,147.0,118.0,90.0,90.0,136.0,90.0,90.0,136.0,145.0,82.0,110.0,53.0,61.0,139.0,61.0,119.0,147.0,110.0,139.0,53.0,147.0,61.0,81.0,61.0,90.0,82.0,61.0,139.0,118.0,147.0
94,44.0,26.0,156.0,143.0,166.0,166.0,125.0,166.0,166.0,125.0,66.0,57.0,34.0,44.0,26.0,174.0,26.0,40.0,156.0,34.0,174.0,44.0,156.0,26.0,160.0,26.0,166.0,57.0,26.0,174.0,143.0,156.0
95,42.0,112.0,158.0,147.0,104.0,104.0,78.0,104.0,104.0,78.0,111.0,53.0,96.0,42.0,112.0,88.0,112.0,52.0,158.0,96.0,88.0,42.0,158.0,112.0,148.0,112.0,104.0,53.0,112.0,88.0,147.0,158.0
96,99.0,72.0,101.0,118.0,68.0,68.0,89.0,68.0,68.0,89.0,113.0,82.0,132.0,99.0,72.0,128.0,72.0,72.0,101.0,132.0,128.0,99.0,101.0,72.0,128.0,72.0,68.0,82.0,72.0,128.0,118.0,101.0
97,76.0,94.0,124.0,148.0,113.0,113.0,56.0,113.0,113.0,56.0,85.0,52.0,87.0,76.0,94.0,106.0,94.0,66.0,124.0,87.0,106.0,76.0,124.0,94.0,134.0,94.0,113.0,52.0,94.0,106.0,148.0,124.0
98,83.0,105.0,117.0,143.0,143.0,143.0,65.0,143.0,143.0,65.0,116.0,57.0,57.0,83.0,105.0,95.0,105.0,65.0,117.0,57.0,95.0,83.0,117.0,105.0,135.0,105.0,143.0,57.0,105.0,95.0,143.0,117.0
99,63.0,78.0,137.0,122.0,81.0,81.0,151.0,81.0,81.0,151.0,91.0,78.0,119.0,63.0,78.0,122.0,78.0,79.0,137.0,119.0,122.0,63.0,137.0,78.0,121.0,78.0,81.0,78.0,78.0,122.0,122.0,137.0
100,117.0,23.0,83.0,80.0,105.0,105.0,119.0,105.0,105.0,119.0,86.0,120.0,95.0,117.0,23.0,177.0,23.0,67.0,83.0,95.0,177.0,117.0,83.0,23.0,133.0,23.0,105.0,120.0,23.0,177.0,80.0,83.0
101,123.0,9.0,77.0,91.0,62.0,62.0,107.0,62.0,62.0,107.0,85.0,109.0,138.0,123.0,9.0,191.0,9.0,101.0,77.0,138.0,191.0,123.0,77.0,9.0,99.0,9.0,62.0,109.0,9.0,191.0,91.0,77.0
102,110.0,66.0,90.0,141.0,126.0,126.0,122.0,126.0,126.0,122.0,87.0,59.0,74.0,110.0,66.0,134.0,66.0,119.0,90.0,74.0,134.0,110.0,90.0,66.0,81.0,66.0,126.0,59.0,66.0,134.0,141.0,90.0
103,151.0,95.0,49.0,78.0,81.0,81.0,90.0,81.0,81.0,90.0,73.0,122.0,119.0,151.0,95.0,105.0,95.0,138.0,49.0,119.0,105.0,151.0,49.0,95.0,62.0,95.0,81.0,122.0,95.0,105.0,78.0,49.0
104,145.0,56.0,55.0,142.0,116.0,116.0,99.0,116.0,116.0,99.0,116.0,58.0,84.0,145.0,56.0,144.0,56.0,127.0,55.0,84.0,144.0,145.0,55.0,56.0,73.0,56.0,116.0,58.0,56.0,144.0,142.0,55.0
105,126.0,171.0,74.0,75.0,137.0,137.0,63.0,137.0,137.0,63.0,102.0,125.0,63.0,126.0,171.0,29.0,171.0,112.0,74.0,63.0,29.0,126.0,74.0,171.0,88.0,171.0,137.0,125.0,171.0,29.0,75.0,74.0
106,168.0,143.0,32.0,48.0,112.0,112.0,88.0,112.0,112.0,88.0,105.0,152.0,88.0,168.0,143.0,57.0,143.0,139.0,32.0,88.0,57.0,168.0,32.0,143.0,61.0,143.0,112.0,152.0,143.0,57.0,48.0,32.0
107,155.0,157.0,45.0,62.0,143.0,143.0,58.0,143.0,143.0,58.0,123.0,138.0,57.0,155.0,157.0,43.0,157.0,129.0,45.0,57.0,43.0,155.0,45.0,157.0,71.0,157.0,143.0,138.0,157.0,43.0,62.0,45.0
108,109.0,94.0,91.0,98.0,116.0,116.0,21.0,116.0,116.0,21.0,126.0,102.0,84.0,109.0,94.0,106.0,94.0,79.0,91.0,84.0,106.0,109.0,91.0,94.0,121.0,94.0,116.0,102.0,94.0,106.0,98.0,91.0
109,84.0,75.0,116.0,102.0,67.0,67.0,63.0,67.0,67.0,63.0,147.0,98.0,133.0,84.0,75.0,125.0,75.0,76.0,116.0,133.0,125.0,84.0,116.0,75.0,124.0,75.0,67.0,98.0,75.0,125.0,102.0,116.0
110,106.0,60.0,94.0,109.0,99.0,99.0,102.0,99.0,99.0,102.0,110.0,91.0,101.0,106.0,60.0,140.0,60.0,115.0,94.0,101.0,140.0,106.0,94.0,60.0,85.0,60.0,99.0,91.0,60.0,140.0,109.0,94.0
111,39.0,43.0,161.0,94.0,178.0,178.0,70.0,178.0,178.0,70.0,85.0,106.0,22.0,39.0,43.0,157.0,43.0,61.0,161.0,22.0,157.0,39.0,161.0,43.0,139.0,43.0,178.0,106.0,43.0,157.0,94.0,161.0
112,24.0,91.0,176.0,86.0,185.0,185.0,117.0,185.0,185.0,117.0,92.0,114.0,15.0,24.0,91.0,109.0,91.0,14.0,176.0,15.0,109.0,24.0,176.0,91.0,186.0,91.0,185.0,114.0,91.0,109.0,86.0,176.0
113,97.0,38.0,103.0,81.0,129.0,129.0,23.0,129.0,129.0,23.0,118.0,119.0,71.0,97.0,38.0,162.0,38.0,31.0,103.0,71.0,162.0,97.0,103.0,38.0,169.0,38.0,129.0,119.0,38.0,162.0,81.0,103.0
114,74.0,79.0,126.0,125.0,97.0,97.0,64.0,97.0,97.0,64.0,124.0,75.0,103.0,74.0,79.0,121.0,79.0,67.0,126.0,103.0,121.0,74.0,126.0,79.0,133.0,79.0,97.0,75.0,79.0,121.0,125.0,126.0
115,100.0,31.0,100.0,93.0,41.0,41.0,49.0,41.0,41.0,49.0,107.0,107.0,159.0,100.0,31.0,169.0,31.0,66.0,100.0,159.0,169.0,100.0,100.0,31.0,134.0,31.0,41.0,107.0,31.0,169.0,93.0,100.0
116,121.0,85.0,79.0,65.0,86.0,86.0,39.0,86.0,86.0,39.0,103.0,135.0,114.0,121.0,85.0,115.0,85.0,81.0,79.0,114.0,115.0,121.0,79.0,85.0,119.0,85.0,86.0,135.0,85.0,115.0,65.0,79.0
117,127.0,99.0,73.0,109.0,100.0,100.0,99.0,100.0,100.0,99.0,121.0,91.0,100.0,127.0,99.0,101.0,99.0,179.0,73.0,100.0,101.0,127.0,73.0,99.0,21.0,99.0,100.0,91.0,99.0,101.0,109.0,73.0
118,72.0,116.0,128.0,112.0,45.0,45.0,63.0,45.0,45.0,63.0,106.0,88.0,155.0,72.0,116.0,84.0,116.0,150.0,128.0,155.0,84.0,72.0,128.0,116.0,50.0,116.0,45.0,88.0,116.0,84.0,112.0,128.0
119,108.0,61.0,92.0,100.0,44.0,44.0,107.0,44.0,44.0,107.0,112.0,100.0,156.0,108.0,61.0,139.0,61.0,168.0,92.0,156.0,139.0,108.0,92.0,61.0,32.0,61.0,44.0,100.0,61.0,139.0,100.0,92.0
120,156.0,128.0,44.0,55.0,68.0,68.0,146.0,68.0,68.0,146.0,77.0,145.0,132.0,156.0,128.0,72.0,128.0,150.0,44.0,132.0,72.0,156.0,44.0,128.0,50.0,128.0,68.0,145.0,128.0,72.0,55.0,44.0
121,139.0,136.0,61.0,99.0,61.0,61.0,179.0,61.0,61.0,179.0,71.0,101.0,139.0,139.0,136.0,64.0,136.0,110.0,61.0,139.0,64.0,139.0,61.0,136.0,90.0,136.0,61.0,101.0,136.0,64.0,99.0,61.0
122,104.0,133.0,96.0,99.0,31.0,31.0,119.0,31.0,31.0,119.0,85.0,101.0,169.0,104.0,133.0,67.0,133.0,162.0,96.0,169.0,67.0,104.0,96.0,133.0,38.0,133.0,31.0,101.0,133.0,67.0,99.0,96.0
123,124.0,143.0,76.0,125.0,61.0,61.0,95.0,61.0,61.0,95.0,86.0,75.0,139.0,124.0,143.0,57.0,143.0,149.0,76.0,139.0,57.0,124.0,76.0,143.0,51.0,143.0,61.0,75.0,143.0,57.0,125.0,76.0
124,154.0,126.0,46.0,71.0,125.0,125.0,126.0,125.0,125.0,126.0,87.0,129.0,75.0,154.0,126.0,74.0,126.0,138.0,46.0,75.0,74.0,154.0,46.0,126.0,62.0,126.0,125.0,129.0,126.0,74.0,71.0,46.0
125,101.0,98.0,99.0,143.0,119.0,119.0,66.0,119.0,119.0,66.0,95.0,57.0,81.0,101.0,98.0,102.0,98.0,147.0,99.0,81.0,102.0,101.0,99.0,98.0,53.0,98.0,119.0,57.0,98.0,102.0,143.0,99.0
126,66.0,161.0,134.0,105.0,94.0,94.0,100.0,94.0,94.0,100.0,93.0,95.0,106.0,66.0,161.0,39.0,161.0,129.0,134.0,106.0,39.0,66.0,134.0,161.0,71.0,161.0,94.0,95.0,161.0,39.0,105.0,134.0
127,89.0,105.0,111.0,119.0,85.0,85.0,66.0,85.0,85.0,66.0,73.0,81.0,115.0,89.0,105.0,95.0,105.0,113.0,111.0,115.0,95.0,89.0,111.0,105.0,87.0,105.0,85.0,81.0,105.0,95.0,119.0,111.0
128,102.0,120.0,98.0,104.0,82.0,82.0,77.0,82.0,82.0,77.0,77.0,96.0,118.0,102.0,120.0,80.0,120.0,104.0,98.0,118.0,80.0,102.0,98.0,120.0,96.0,120.0,82.0,96.0,120.0,80.0,104.0,98.0
129,77.0,121.0,123.0,139.0,91.0,91.0,122.0,91.0,91.0,122.0,115.0,61.0,109.0,77.0,121.0,79.0,121.0,64.0,123.0,109.0,79.0,77.0,123.0,121.0,136.0,121.0,91.0,61.0,121.0,79.0,139.0,123.0
130,96.0,156.0,104.0,151.0,83.0,83.0,51.0,83.0,83.0,51.0,105.0,49.0,117.0,96.0,156.0,44.0,156.0,107.0,104.0,117.0,44.0,96.0,104.0,156.0,93.0,156.0,83.0,49.0,156.0,44.0,151.0,104.0
131,90.0,123.0,110.0,187.0,134.0,134.0,83.0,134.0,134.0,83.0,144.0,13.0,66.0,90.0,123.0,77.0,123.0,80.0,110.0,66.0,77.0,90.0,110.0,123.0,120.0,123.0,134.0,13.0,123.0,77.0,187.0,110.0
132,149.0,118.0,51.0,125.0,56.0,56.0,55.0,56.0,56.0,55.0,137.0,75.0,144.0,149.0,118.0,82.0,118.0,83.0,51.0,144.0,82.0,149.0,51.0,118.0,117.0,118.0,56.0,75.0,118.0,82.0,125.0,51.0
133,106.0,143.0,94.0,146.0,65.0,65.0,126.0,65.0,65.0,126.0,134.0,54.0,135.0,106.0,143.0,57.0,143.0,75.0,94.0,135.0,57.0,106.0,94.0,143.0,125.0,143.0,65.0,54.0,143.0,57.0,146.0,94.0
134,101.0,145.0,99.0,87.0,89.0,89.0,44.0,89.0,89.0,44.0,138.0,113.0,111.0,101.0,145.0,55.0,145.0,120.0,99.0,111.0,55.0,101.0,99.0,145.0,80.0,145.0,89.0,113.0,145.0,55.0,87.0,99.0
135,110.0,121.0,90.0,34.0,94.0,94.0,120.0,94.0,94.0,120.0,113.0,166.0,106.0,110.0,121.0,79.0,121.0,29.0,90.0,106.0,79.0,110.0,90.0,121.0,171.0,121.0,94.0,166.0,121.0,79.0,34.0,90.0
136,128.0,130.0,72.0,37.0,82.0,82.0,151.0,82.0,82.0,151.0,108.0,163.0,118.0,128.0,130.0,70.0,130.0,26.0,72.0,118.0,70.0,128.0,72.0,130.0,174.0,130.0,82.0,163.0,130.0,70.0,37.0,72.0
137,81.0,168.0,119.0,36.0,97.0,97.0,117.0,97.0,97.0,117.0,165.0,164.0,103.0,81.0,168.0,32.0,168.0,4.0,119.0,103.0,32.0,81.0,119.0,168.0,196.0,168.0,97.0,164.0,168.0,32.0,36.0,119.0
138,139.0,146.0,61.0,34.0,111.0,111.0,140.0,111.0,111.0,140.0,128.0,166.0,89.0,139.0,146.0,54.0,146.0,105.0,61.0,89.0,54.0,139.0,61.0,146.0,95.0,146.0,111.0,166.0,146.0,54.0,34.0,61.0
139,94.0,133.0,106.0,61.0,92.0,92.0,76.0,92.0,92.0,76.0,129.0,139.0,108.0,94.0,133.0,67.0,133.0,113.0,106.0,108.0,67.0,94.0,106.0,133.0,87.0,133.0,92.0,139.0,133.0,67.0,61.0,106.0
140,114.0,100.0,86.0,92.0,102.0,102.0,89.0,102.0,102.0,89.0,153.0,108.0,98.0,114.0,100.0,100.0,100.0,157.0,86.0,98.0,100.0,114.0,86.0,100.0,43.0,100.0,102.0,108.0,100.0,100.0,92.0,86.0
141,101.0,105.0,99.0,138.0,124.0,124.0,63.0,124.0,124.0,63.0,127.0,62.0,76.0,101.0,105.0,95.0,105.0,154.0,99.0,76.0,95.0,101.0,99.0,105.0,46.0,105.0,124.0,62.0,105.0,95.0,138.0,99.0
142,130.0,120.0,70.0,135.0,122.0,122.0,37.0,122.0,122.0,37.0,146.0,65.0,78.0,130.0,120.0,80.0,120.0,78.0,70.0,78.0,80.0,130.0,70.0,120.0,122.0,120.0,122.0,65.0,120.0,80.0,135.0,70.0
143,100.0,112.0,100.0,89.0,104.0,104.0,125.0,104.0,104.0,125.0,102.0,111.0,96.0,100.0,112.0,88.0,112.0,118.0,100.0,96.0,88.0,100.0,100.0,112.0,82.0,112.0,104.0,111.0,112.0,88.0,89.0,100.0
144,115.0,67.0,85.0,143.0,94.0,94.0,71.0,94.0,94.0,71.0,86.0,57.0,106.0,115.0,67.0,133.0,67.0,115.0,85.0,106.0,133.0,115.0,85.0,67.0,85.0,67.0,94.0,57.0,67.0,133.0,143.0,85.0
145,84.0,91.0,116.0,75.0,67.0,67.0,33.0,67.0,67.0,33.0,150.0,125.0,133.0,84.0,91.0,109.0,91.0,45.0,116.0,133.0,109.0,84.0,116.0,91.0,155.0,91.0,67.0,125.0,91.0,109.0,75.0,116.0
146,100.0,91.0,100.0,91.0,53.0,53.0,46.0,53.0,53.0,46.0,161.0,109.0,147.0,100.0,91.0,109.0,91.0,188.0,100.0,147.0,109.0,100.0,100.0,91.0,12.0,91.0,53.0,109.0,91.0,109.0,91.0,100.0
147,93.0,98.0,107.0,162.0,81.0,81.0,99.0,81.0,81.0,99.0,134.0,38.0,119.0,93.0,98.0,102.0,98.0,59.0,107.0,119.0,102.0,93.0,107.0,98.0,141.0,98.0,81.0,38.0,98.0,102.0,162.0,107.0
148,119.0,101.0,81.0,131.0,61.0,61.0,104.0,61.0,61.0,104.0,72.0,69.0,139.0,119.0,101.0,99.0,101.0,70.0,81.0,139.0,99.0,119.0,81.0,101.0,130.0,101.0,61.0,69.0,101.0,99.0,131.0,81.0
149,124.0,93.0,76.0,137.0,87.0,87.0,75.0,87.0,87.0,75.0,141.0,63.0,113.0,124.0,93.0,107.0,93.0,105.0,76.0,113.0,107.0,124.0,76.0,93.0,95.0,93.0,87.0,63.0,93.0,107.0,137.0,76.0
150,133.0,118.0,67.0,111.0,90.0,90.0,101.0,90.0,90.0,101.0,78.0,89.0,110.0,133.0,118.0,82.0,118.0,128.0,67.0,110.0,82.0,133.0,67.0,118.0,72.0,118.0,90.0,89.0,118.0,82.0,111.0,67.0
151,116.0,105.0,84.0,69.0,129.0,129.0,104.0,129.0,129.0,104.0,87.0,131.0,71.0,116.0,105.0,95.0,105.0,65.0,84.0,71.0,95.0,116.0,84.0,105.0,135.0,105.0,129.0,131.0,105.0,95.0,69.0,84.0
152,90.0,95.0,110.0,109.0,121.0,121.0,62.0,121.0,121.0,62.0,101.0,91.0,79.0,90.0,95.0,105.0,95.0,42.0,110.0,79.0,105.0,90.0,110.0,95.0,158.0,95.0,121.0,91.0,95.0,105.0,109.0,110.0
153,70.0,89.0,130.0,91.0,135.0,135.0,76.0,135.0,135.0,76.0,79.0,109.0,65.0,70.0,89.0,111.0,89.0,141.0,130.0,65.0,111.0,70.0,130.0,89.0,59.0,89.0,135.0,109.0,89.0,111.0,91.0,130.0
154,52.0,107.0,148.0,55.0,127.0,127.0,88.0,127.0,127.0,88.0,76.0,145.0,73.0,52.0,107.0,93.0,107.0,143.0,148.0,73.0,93.0,52.0,148.0,107.0,57.0,107.0,127.0,145.0,107.0,93.0,55.0,148.0
155,85.0,38.0,115.0,52.0,89.0,89.0,158.0,89.0,89.0,158.0,82.0,148.0,111.0,85.0,38.0,162.0,38.0,162.0,115.0,111.0,162.0,85.0,115.0,38.0,38.0,38.0,89.0,148.0,38.0,162.0,52.0,115.0
156,113.0,103.0,87.0,81.0,86.0,86.0,130.0,86.0,86.0,130.0,68.0,119.0,114.0,113.0,103.0,97.0,103.0,169.0,87.0,114.0,97.0,113.0,87.0,103.0,31.0,103.0,86.0,119.0,103.0,97.0,81.0,87.0
157,119.0,112.0,81.0,89.0,95.0,95.0,108.0,95.0,95.0,108.0,76.0,111.0,105.0,119.0,112.0,88.0,112.0,116.0,81.0,105.0,88.0,119.0,81.0,112.0,84.0,112.0,95.0,111.0,112.0,88.0,89.0,81.0
158,179.0,123.0,21.0,46.0,92.0,92.0,94.0,92.0,92.0,94.0,74.0,154.0,108.0,179.0,123.0,77.0,123.0,124.0,21.0,108.0,77.0,179.0,21.0,123.0,76.0,123.0,92.0,154.0,123.0,77.0,46.0,21.0
159,111.0,120.0,89.0,45.0,63.0,63.0,106.0,63.0,63.0,106.0,70.0,155.0,137.0,111.0,120.0,80.0,120.0,53.0,89.0,137.0,80.0,111.0,89.0,120.0,147.0,120.0,63.0,155.0,120.0,80.0,45.0,89.0
160,103.0,144.0,97.0,62.0,84.0,84.0,113.0,84.0,84.0,113.0,100.0,138.0,116.0,103.0,144.0,56.0,144.0,88.0,97.0,116.0,56.0,103.0,97.0,144.0,112.0,144.0,84.0,138.0,144.0,56.0,62.0,97.0
161,93.0,103.0,107.0,121.0,102.0,102.0,84.0,102.0,102.0,84.0,96.0,79.0,98.0,93.0,103.0,97.0,103.0,116.0,107.0,98.0,97.0,93.0,107.0,103.0,84.0,103.0,102.0,79.0,103.0,97.0,121.0,107.0
162,84.0,91.0,116.0,77.0,94.0,94.0,95.0,94.0,94.0,95.0,114.0,123.0,106.0,84.0,91.0,109.0,91.0,70.0,116.0,106.0,109.0,84.0,116.0,91.0,130.0,91.0,94.0,123.0,91.0,109.0,77.0,116.0
163,128.0,123.0,72.0,24.0,55.0,55.0,80.0,55.0,55.0,80.0,121.0,176.0,145.0,128.0,123.0,77.0,123.0,86.0,72.0,145.0,77.0,128.0,72.0,123.0,114.0,123.0,55.0,176.0,123.0,77.0,24.0,72.0
164,91.0,158.0,109.0,72.0,85.0,85.0,80.0,85.0,85.0,80.0,116.0,128.0,115.0,91.0,158.0,42.0,158.0,115.0,109.0,115.0,42.0,91.0,109.0,158.0,85.0,158.0,85.0,128.0,158.0,42.0,72.0,109.0
165,106.0,125.0,94.0,98.0,99.0,99.0,90.0,99.0,99.0,90.0,88.0,102.0,101.0,106.0,125.0,75.0,125.0,143.0,94.0,101.0,75.0,106.0,94.0,125.0,57.0,125.0,99.0,102.0,125.0,75.0,98.0,94.0
166,82.0,113.0,118.0,125.0,91.0,91.0,37.0,91.0,91.0,37.0,88.0,75.0,109.0,82.0,113.0,87.0,113.0,148.0,118.0,109.0,87.0,82.0,118.0,113.0,52.0,113.0,91.0,75.0,113.0,87.0,125.0,118.0
167,52.0,105.0,148.0,154.0,103.0,103.0,71.0,103.0,103.0,71.0,111.0,46.0,97.0,52.0,105.0,95.0,105.0,168.0,148.0,97.0,95.0,52.0,148.0,105.0,32.0,105.0,103.0,46.0,105.0,95.0,154.0,148.0
168,75.0,117.0,125.0,113.0,111.0,111.0,62.0,111.0,111.0,62.0,120.0,87.0,89.0,75.0,117.0,83.0,117.0,121.0,125.0,89.0,83.0,75.0,125.0,117.0,79.0,117.0,111.0,87.0,117.0,83.0,113.0,125.0
169,24.0,81.0,176.0,103.0,50.0,50.0,95.0,50.0,50.0,95.0,124.0,97.0,150.0,24.0,81.0,119.0,81.0,150.0,176.0,150.0,119.0,24.0,176.0,81.0,50.0,81.0,50.0,97.0,81.0,119.0,103.0,176.0
170,38.0,163.0,162.0,196.0,43.0,43.0,106.0,43.0,43.0,106.0,131.0,4.0,157.0,38.0,163.0,37.0,163.0,75.0,162.0,157.0,37.0,38.0,162.0,163.0,125.0,163.0,43.0,4.0,163.0,37.0,196.0,162.0
171,26.0,137.0,174.0,113.0,61.0,61.0,156.0,61.0,61.0,156.0,134.0,87.0,139.0,26.0,137.0,63.0,137.0,149.0,174.0,139.0,63.0,26.0,174.0,137.0,51.0,137.0,61.0,87.0,137.0,63.0,113.0,174.0
172,53.0,151.0,147.0,126.0,117.0,117.0,200.0,117.0,117.0,200.0,155.0,74.0,83.0,53.0,151.0,49.0,151.0,78.0,147.0,83.0,49.0,53.0,147.0,151.0,122.0,151.0,117.0,74.0,151.0,49.0,126.0,147.0
173,52.0,169.0,148.0,188.0,116.0,116.0,171.0,116.0,116.0,171.0,144.0,12.0,84.0,52.0,169.0,31.0,169.0,116.0,148.0,84.0,31.0,52.0,148.0,169.0,84.0,169.0,116.0,12.0,169.0,31.0,188.0,148.0
174,118.0,192.0,82.0,137.0,101.0,101.0,138.0,101.0,101.0,138.0,101.0,63.0,99.0,118.0,192.0,8.0,192.0,66.0,82.0,99.0,8.0,118.0,82.0,192.0,134.0,192.0,101.0,63.0,192.0,8.0,137.0,82.0
175,119.0,152.0,81.0,143.0,83.0,83.0,98.0,83.0,83.0,98.0,131.0,57.0,117.0,119.0,152.0,48.0,152.0,63.0,81.0,117.0,48.0,119.0,81.0,152.0,137.0,152.0,83.0,57.0,152.0,48.0,143.0,81.0
176,98.0,144.0,102.0,166.0,95.0,95.0,89.0,95.0,95.0,89.0,116.0,34.0,105.0,98.0,144.0,56.0,144.0,53.0,102.0,105.0,56.0,98.0,102.0,144.0,147.0,144.0,95.0,34.0,144.0,56.0,166.0,102.0
177,126.0,140.0,74.0,61.0,59.0,59.0,113.0,59.0,59.0,113.0,101.0,139.0,141.0,126.0,140.0,60.0,140.0,33.0,74.0,141.0,60.0,126.0,74.0,140.0,167.0,140.0,59.0,139.0,140.0,60.0,61.0,74.0
178,140.0,161.0,60.0,93.0,119.0,119.0,118.0,119.0,119.0,118.0,93.0,107.0,81.0,140.0,161.0,39.0,161.0,83.0,60.0,81.0,39.0,140.0,60.0,161.0,117.0,161.0,119.0,107.0,161.0,39.0,93.0,60.0
179,108.0,119.0,92.0,157.0,84.0,84.0,111.0,84.0,84.0,111.0,109.0,43.0,116.0,108.0,119.0,81.0,119.0,137.0,92.0,116.0,81.0,108.0,92.0,119.0,63.0,119.0,84.0,43.0,119.0,81.0,157.0,92.0
180,102.0,86.0,98.0,202.0,74.0,74.0,108.0,74.0,74.0,108.0,83.0,-2.0,126.0,102.0,86.0,114.0,86.0,56.0,98.0,126.0,114.0,102.0,98.0,86.0,144.0,86.0,74.0,-2.0,86.0,114.0,202.0,98.0
181,128.0,94.0,72.0,117.0,107.0,107.0,123.0,107.0,107.0,123.0,72.0,83.0,93.0,128.0,94.0,106.0,94.0,44.0,72.0,93.0,106.0,128.0,72.0,94.0,156.0,94.0,107.0,83.0,94.0,106.0,117.0,72.0
182,77.0,47.0,123.0,73.0,46.0,46.0,123.0,46.0,46.0,123.0,48.0,127.0,154.0,77.0,47.0,153.0,47.0,133.0,123.0,154.0,153.0,77.0,123.0,47.0,67.0,47.0,46.0,127.0,47.0,153.0,73.0,123.0
183,83.0,74.0,117.0,193.0,71.0,71.0,72.0,71.0,71.0,72.0,52.0,7.0,129.0,83.0,74.0,126.0,74.0,153.0,117.0,129.0,126.0,83.0,117.0,74.0,47.0,74.0,71.0,7.0,74.0,126.0,193.0,117.0
184,121.0,97.0,79.0,73.0,102.0,102.0,60.0,102.0,102.0,60.0,112.0,127.0,98.0,121.0,97.0,103.0,97.0,19.0,79.0,98.0,103.0,121.0,79.0,97.0,181.0,97.0,102.0,127.0,97.0,103.0,73.0,79.0
185,71.0,105.0,129.0,192.0,101.0,101.0,124.0,101.0,101.0,124.0,99.0,8.0,99.0,71.0,105.0,95.0,105.0,118.0,129.0,99.0,95.0,71.0,129.0,105.0,82.0,105.0,101.0,8.0,105.0,95.0,192.0,129.0
186,155.0,78.0,45.0,144.0,129.0,129.0,99.0,129.0,129.0,99.0,117.0,56.0,71.0,155.0,78.0,122.0,78.0,126.0,45.0,71.0,122.0,155.0,45.0,78.0,74.0,78.0,129.0,56.0,78.0,122.0,144.0,45.0
187,37.0,100.0,163.0,35.0,191.0,191.0,115.0,191.0,191.0,115.0,109.0,165.0,9.0,37.0,100.0,100.0,100.0,111.0,163.0,9.0,100.0,37.0,163.0,100.0,89.0,100.0,191.0,165.0,100.0,100.0,35.0,163.0
188,73.0,112.0,127.0,56.0,106.0,106.0,96.0,106.0,106.0,96.0,105.0,144.0,94.0,73.0,112.0,88.0,112.0,89.0,127.0,94.0,88.0,73.0,127.0,112.0,111.0,112.0,106.0,144.0,112.0,88.0,56.0,127.0
